model,f2,gmean,bss,pr_auc,sensitivity,specificity,ppv,accuracy,precision,recall,f1,auc
model_943,0.79801,0.65300,0.29198,0.59292,0.86600,0.44000,0.8708173326179807,0.65300,0.60729,0.86600,0.71393,0.65300
model_79,0.79790,0.71450,0.41747,0.64421,0.83700,0.59200,0.8457796525570654,0.71450,0.67229,0.83700,0.74566,0.71450
model_541,0.79785,0.82100,0.63477,0.77106,0.78700,0.85500,0.9673451783628803,0.82100,0.84442,0.78700,0.81470,0.82100
model_905,0.79754,0.81150,0.61538,0.75693,0.79100,0.83200,0.9799561806478577,0.81150,0.82482,0.79100,0.80755,0.81150
model_777,0.79738,0.83450,0.66231,0.79283,0.78000,0.88900,nan,0.83450,0.87542,0.78000,0.82496,0.83450
model_1329,0.79737,0.81950,0.63171,0.76893,0.78700,0.85200,0.96678102585618,0.81950,0.84171,0.78700,0.81344,0.81950
model_435,0.79728,0.72100,0.43073,0.65040,0.83300,0.60900,0.879756056948712,0.72100,0.68056,0.83300,0.74910,0.72100
model_1751,0.79700,0.79700,0.58580,0.73671,0.79700,0.79700,0.9697044608653971,0.79700,0.79700,0.79700,0.79700,0.79700
model_1207,0.79672,0.81750,0.62763,0.76610,0.78700,0.84800,0.9703482988701072,0.81750,0.83813,0.78700,0.81176,0.81750
model_1119,0.79637,0.81000,0.61232,0.75510,0.79000,0.83000,0.8127148495780097,0.81000,0.82292,0.79000,0.80612,0.81000
model_903,0.79627,0.79900,0.58988,0.73962,0.79500,0.80300,0.9773802900704268,0.79900,0.80141,0.79500,0.79819,0.79900
model_169,0.79620,0.83300,0.65925,0.79082,0.77900,0.88700,0.8202202235658963,0.83300,0.87332,0.77900,0.82347,0.83300
model_1005,0.79585,0.54500,0.07162,0.52367,0.91300,0.17700,0.8298025912529713,0.54500,0.52592,0.91300,0.66740,0.54500
model_753,0.79569,0.84000,0.67354,0.80287,0.77500,0.90500,nan,0.84000,0.89080,0.77500,0.82888,0.84000
model_1269,0.79539,0.81550,0.62355,0.76353,0.78600,0.84500,0.9703505997722214,0.81550,0.83528,0.78600,0.80989,0.81550
