model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
242,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",swish,20
908,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
12,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",relu,20
1062,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
1026,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
866,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",swish,20
1022,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,20
1218,10,5,10,0.001,1.0,1.0,4,1000,5,20,128,relu,20
568,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,swish,20
788,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
348,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,relu,20
1622,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,20
906,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
814,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
640,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,20
722,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,20
206,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,20
1630,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,20
910,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,20
1600,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,20
1800,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,20
448,10,5,10,0.001,1.0,1.0,4,1000,5,10,128,tanh,20
826,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,20
