model,shots,inner_batch,inner_iters,lr,meta_step,meta_step_final,meta_batch,meta_iters,eval_batch,eval_iters,dim_hidden,activation_fns,top_features
2585,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
787,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
2641,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",swish,10
1567,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
2919,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
2833,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",tanh,10
2455,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",relu,10
2401,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",relu,10
1945,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",tanh,10
1687,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
775,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
1145,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,10
1695,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
1119,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
2403,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",relu,10
2957,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",swish,10
1059,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,10
2593,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
729,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",tanh,10
1083,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
699,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
2407,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",relu,10
1031,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,10
1025,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",tanh,10
1821,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",relu,10
705,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",sigmoid,10
2649,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",swish,10
2523,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",tanh,10
131,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",tanh,10
1703,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
2031,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64",softmax,10
1623,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",tanh,10
1535,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
1093,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
1571,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",sigmoid,10
2821,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",tanh,10
2581,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
605,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",relu,10
1763,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",swish,10
1529,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",relu,10
2781,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",sigmoid,10
2599,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
1143,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",swish,10
903,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",relu,10
2923,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
2881,10,5,10,0.001,1.0,1.0,4,1000,10,10,"128, 64",softmax,10
1719,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
2527,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",tanh,10
213,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64",softmax,10
1693,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
1723,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
1099,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64",softmax,10
823,10,5,10,0.001,1.0,1.0,4,1000,5,10,"128, 64, 64",softmax,10
2597,10,5,10,0.001,1.0,1.0,4,1000,5,30,"128, 64, 64",softmax,10
1697,10,5,10,0.001,1.0,1.0,4,1000,5,20,"128, 64, 64",softmax,10
