model,miter,mbs,mlr,ulr,dh,afn,nu,ifp,weights,sampling_strategy,encoding
model_90,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",all,woe
model_274,1000,16,0.1,0.1,128,relu,4,0,"1, 100",0.5,mestimator
model_268,1000,16,0.1,0.1,128,relu,4,0,"1, 100",all,mestimator
model_349,1000,16,0.1,0.1,128,relu,4,0,"100, 1",1,catboost
model_160,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",all,mestimator
model_95,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",0.5,james
model_163,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",0.5,catboost
model_73,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",minority,catboost
model_221,1000,16,0.1,0.1,128,relu,4,0,"1, 10",minority,james
model_100,1000,16,0.1,0.1,"128, 64",relu,4,0,"1, 100",1,mestimator
model_270,1000,16,0.1,0.1,128,relu,4,0,"1, 100",all,woe
model_330,1000,16,0.1,0.1,128,relu,4,0,"100, 1",minority,woe
model_357,1000,16,0.1,0.1,128,relu,4,0,"100, 1",0.75,target
model_263,1000,16,0.1,0.1,128,relu,4,0,"1, 100",not minority,james
model_172,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",1,mestimator
model_306,1000,16,0.1,0.1,128,relu,4,0,"10, 1",all,woe
model_287,1000,16,0.1,0.1,128,relu,4,0,"1, 100",0.75,james
model_147,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",minority,target
model_337,1000,16,0.1,0.1,128,relu,4,0,"100, 1",all,catboost
model_146,1000,16,0.1,0.1,"128, 64",relu,4,0,"100, 1",minority,glmm
